epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.006,1.68012,3.1551,1.7217,0.47335,0.12857,0.09007,0.04408,1.77143,3.56856,2.40288,0.0802235,0.000199762,0.000199762
2,410.115,1.63087,2.50969,1.67366,0.55567,0.17233,0.1371,0.07015,1.71121,2.31482,2.21105,0.0604234,0.000399665,0.000399665
3,607.688,1.62649,2.38137,1.68106,0.54201,0.21104,0.20677,0.1169,1.57949,1.67055,2.04132,0.040623,0.000599176,0.000599176
4,804.764,1.60528,2.27204,1.65851,0.57411,0.21655,0.20743,0.11853,1.49152,2.14271,1.98904,0.0208218,0.000798005,0.000798005
5,1001.51,1.58697,2.19824,1.64773,0.67895,0.21321,0.24271,0.14665,1.30441,1.49158,1.80445,0.00101964,0.00099586,0.00099586
6,1199.09,1.55313,2.1312,1.62419,0.62669,0.24452,0.27587,0.17213,1.29778,1.41957,1.75214,0.000993906,0.000993906,0.000993906
7,1396.11,1.5407,2.0671,1.60966,0.57742,0.26533,0.31096,0.18724,1.27477,1.32101,1.76895,0.000991232,0.000991232,0.000991232
8,1593.21,1.52875,2.01339,1.60285,0.64805,0.28848,0.32208,0.19827,1.3152,1.24004,1.78706,0.000988079,0.000988079,0.000988079
9,1789.93,1.5083,1.94777,1.57896,0.68941,0.30095,0.33087,0.20441,1.23468,1.18117,1.73111,0.000984449,0.000984449,0.000984449
10,1987.36,1.49131,1.8974,1.57099,0.68574,0.30264,0.38344,0.23559,1.34714,1.15969,1.80881,0.000980345,0.000980345,0.000980345
11,2184.39,1.47535,1.85319,1.55006,0.64328,0.33974,0.38466,0.24091,1.19306,1.11125,1.70834,0.000975773,0.000975773,0.000975773
12,2381.5,1.47631,1.81261,1.55352,0.55513,0.37702,0.38398,0.23844,1.21185,1.2337,1.68991,0.000970736,0.000970736,0.000970736
13,2578.43,1.46295,1.80185,1.54847,0.64582,0.36986,0.39679,0.24762,1.15482,1.09015,1.6561,0.000965239,0.000965239,0.000965239
14,2775.84,1.45241,1.75776,1.53584,0.67703,0.33224,0.39839,0.24754,1.21094,1.01868,1.69634,0.000959289,0.000959289,0.000959289
15,2972.49,1.45046,1.74172,1.53402,0.55709,0.35177,0.38331,0.24087,1.13594,1.02349,1.61313,0.000952889,0.000952889,0.000952889
16,3168.34,1.42763,1.69861,1.52145,0.64369,0.39968,0.43141,0.27066,1.14091,0.99538,1.62379,0.000946048,0.000946048,0.000946048
17,3363.59,1.43592,1.69424,1.51967,0.61303,0.40891,0.44693,0.28597,1.11888,0.97712,1.60647,0.000938772,0.000938772,0.000938772
18,3559.37,1.43401,1.66888,1.51199,0.60469,0.4109,0.45286,0.29425,1.14771,0.95471,1.63094,0.000931067,0.000931067,0.000931067
19,3754.59,1.43306,1.65835,1.512,0.53999,0.42855,0.41716,0.265,1.22861,0.96492,1.68971,0.000922942,0.000922942,0.000922942
20,3949.77,1.41028,1.63312,1.50596,0.65595,0.38248,0.48038,0.31637,1.12457,0.90094,1.60562,0.000914405,0.000914405,0.000914405
21,4144.94,1.41829,1.63736,1.50983,0.57081,0.4808,0.488,0.30918,1.09588,0.89231,1.57673,0.000905463,0.000905463,0.000905463
22,4339.57,1.39828,1.58513,1.49134,0.68322,0.42593,0.47776,0.30506,1.11165,0.88354,1.58435,0.000896127,0.000896127,0.000896127
23,4535.05,1.39853,1.57912,1.49126,0.75793,0.42734,0.47822,0.31103,1.09516,0.87045,1.56624,0.000886404,0.000886404,0.000886404
24,4729.5,1.395,1.56539,1.485,0.69634,0.47436,0.48429,0.31804,1.08091,0.82715,1.55383,0.000876305,0.000876305,0.000876305
25,4923.46,1.39112,1.55464,1.48038,0.73522,0.44275,0.49518,0.31628,1.09396,0.87692,1.55242,0.000865839,0.000865839,0.000865839
26,5118.83,1.38587,1.535,1.47394,0.6736,0.49389,0.49385,0.31828,1.07701,0.79848,1.54206,0.000855018,0.000855018,0.000855018
27,5314.12,1.38036,1.5131,1.47252,0.62219,0.46977,0.49795,0.31916,1.10963,0.81043,1.56601,0.000843851,0.000843851,0.000843851
28,5509.99,1.38497,1.50171,1.46828,0.7025,0.42795,0.50554,0.32242,1.05609,0.81408,1.52052,0.000832349,0.000832349,0.000832349
29,5705.58,1.37409,1.49695,1.46786,0.64868,0.50905,0.51397,0.33408,1.06546,0.79152,1.51985,0.000820525,0.000820525,0.000820525
30,5901.42,1.369,1.47511,1.46619,0.67722,0.47747,0.53889,0.35538,1.04315,0.77487,1.50796,0.000808389,0.000808389,0.000808389
31,6098.14,1.36708,1.46419,1.46148,0.71092,0.48691,0.52764,0.35244,1.03892,0.77764,1.49806,0.000795954,0.000795954,0.000795954
