epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.699,1.6737,8.05461,1.74109,0.4589,0.17895,0.16649,0.08299,1.76677,6.69989,2.29293,0.0670392,0.000332937,0.000332937
2,563.429,1.65588,6.98759,1.72132,0.57342,0.24146,0.24,0.12241,1.60803,5.39977,2.12023,0.0340391,0.000666108,0.000666108
3,838.527,1.64024,6.68822,1.70546,0.64108,0.2406,0.27729,0.14727,1.66901,4.79991,2.10436,0.00103826,0.000998627,0.000998627
4,1113.18,1.60432,6.23845,1.66353,0.5765,0.27857,0.31363,0.17501,1.44726,4.58352,1.93276,0.000997803,0.000997803,0.000997803
5,1388.21,1.56965,5.92726,1.63658,0.66034,0.30134,0.37353,0.20313,1.55227,4.14735,1.99147,0.000996097,0.000996097,0.000996097
6,1663.06,1.54553,5.66825,1.61447,0.61452,0.34465,0.36943,0.19733,1.47507,4.25662,1.96413,0.000993906,0.000993906,0.000993906
7,1938.02,1.53503,5.49493,1.60079,0.59624,0.3407,0.41077,0.22226,1.53288,4.0827,1.98384,0.000991232,0.000991232,0.000991232
8,2212.89,1.52195,5.33669,1.58938,0.55342,0.42482,0.41493,0.22478,1.62701,3.77083,2.08503,0.000988079,0.000988079,0.000988079
9,2488.27,1.51017,5.1912,1.5758,0.52843,0.4465,0.48092,0.27852,1.44159,3.15831,1.87826,0.000984449,0.000984449,0.000984449
10,2763.54,1.48482,5.04078,1.55683,0.68147,0.42573,0.46268,0.25823,1.52217,3.2043,1.93132,0.000980345,0.000980345,0.000980345
11,3038.61,1.47461,4.90008,1.54182,0.69389,0.43935,0.50366,0.2915,1.44167,3.26551,1.90495,0.000975773,0.000975773,0.000975773
12,3313.81,1.47861,4.80862,1.54732,0.63207,0.44042,0.48525,0.27711,1.34835,3.04192,1.77554,0.000970736,0.000970736,0.000970736
13,3587.17,1.46422,4.76549,1.53897,0.70954,0.49048,0.53738,0.31323,1.35316,2.86839,1.78156,0.000965239,0.000965239,0.000965239
14,3860.18,1.45245,4.6008,1.5283,0.56538,0.53481,0.49932,0.28682,1.34,2.93849,1.81193,0.000959289,0.000959289,0.000959289
15,4132.92,1.44242,4.53661,1.5155,0.61632,0.49805,0.54593,0.32503,1.30456,2.74962,1.72192,0.000952889,0.000952889,0.000952889
16,4405.53,1.43196,4.45148,1.51471,0.63222,0.52926,0.56693,0.32598,1.37929,2.8183,1.80006,0.000946048,0.000946048,0.000946048
17,4678.2,1.42936,4.4174,1.5067,0.64636,0.50411,0.55657,0.33215,1.30225,2.69699,1.72353,0.000938772,0.000938772,0.000938772
18,4950.69,1.42571,4.34896,1.49543,0.625,0.49701,0.53163,0.30889,1.32306,2.77705,1.74619,0.000931067,0.000931067,0.000931067
19,5223.63,1.41953,4.29996,1.49278,0.66261,0.52864,0.56847,0.32903,1.31273,2.73129,1.73194,0.000922942,0.000922942,0.000922942
20,5497.1,1.40338,4.24501,1.48916,0.66238,0.5299,0.61244,0.36732,1.26579,2.54457,1.70212,0.000914405,0.000914405,0.000914405
21,5771.19,1.40201,4.20998,1.48846,0.77742,0.53241,0.59611,0.36215,1.27005,2.5328,1.69861,0.000905463,0.000905463,0.000905463
22,6044.7,1.38292,4.06531,1.47143,0.71903,0.54018,0.58585,0.35708,1.27053,2.55836,1.70365,0.000896127,0.000896127,0.000896127
