epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.688,1.64146,2.99736,1.68385,0.64189,0.14675,0.13104,0.06964,1.62717,2.41304,2.14298,0.0670392,0.000332937,0.000332937
2,347.811,1.61581,2.39354,1.6772,0.58554,0.21309,0.21613,0.10766,1.76597,2.01567,2.23158,0.0340326,0.000659674,0.000659674
3,515.534,1.595,2.27294,1.65868,0.59486,0.28081,0.25905,0.14729,1.41109,1.55502,1.8503,0.00101945,0.000979811,0.000979811
4,682.438,1.57122,2.12751,1.62993,0.65056,0.26182,0.28554,0.16732,1.41407,1.49247,1.84394,0.0009703,0.0009703,0.0009703
5,849.659,1.52722,2.0191,1.5949,0.5823,0.30516,0.31854,0.18502,1.47919,1.47944,1.93475,0.0009604,0.0009604,0.0009604
6,1016.21,1.51059,1.9355,1.57964,0.55081,0.3436,0.36577,0.22707,1.33981,1.26158,1.805,0.0009505,0.0009505,0.0009505
7,1183.01,1.48896,1.88084,1.56842,0.69388,0.30072,0.37269,0.22447,1.34358,1.20038,1.76378,0.0009406,0.0009406,0.0009406
8,1349.67,1.4758,1.82919,1.56038,0.50091,0.3689,0.37648,0.22538,1.286,1.18917,1.71886,0.0009307,0.0009307,0.0009307
9,1516.28,1.45733,1.76491,1.54115,0.6041,0.39591,0.3973,0.23879,1.29892,1.11043,1.73632,0.0009208,0.0009208,0.0009208
10,1683.11,1.44933,1.74329,1.53153,0.72227,0.33856,0.40194,0.23625,1.29664,1.11603,1.73829,0.0009109,0.0009109,0.0009109
11,1849.87,1.44226,1.70875,1.52312,0.71045,0.35703,0.41554,0.25394,1.2572,1.0694,1.69016,0.000901,0.000901,0.000901
12,2016.89,1.42776,1.67601,1.51922,0.66526,0.34886,0.40377,0.23797,1.34113,1.10257,1.79123,0.0008911,0.0008911,0.0008911
13,2183.64,1.42,1.64181,1.50507,0.58724,0.45438,0.45286,0.2713,1.25009,1.02514,1.68078,0.0008812,0.0008812,0.0008812
