epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2999,0.9658,2.28191,1.34553,0.57116,0.73223,0.74017,0.53382,0.97722,1.33125,1.27773,0.000332613,0.000332613,0.000332613
2,186.573,1.00194,1.51326,1.34797,0.66992,0.7175,0.73721,0.53092,0.97765,1.01633,1.25795,0.000600018,0.000600018,0.000600018
3,276.071,0.99489,1.25552,1.33765,0.8077,0.68367,0.75386,0.53512,0.9694,0.96719,1.24948,0.000801423,0.000801423,0.000801423
4,365.149,0.955,1.10807,1.29913,0.79653,0.71943,0.79795,0.58073,0.92883,0.86828,1.21876,0.000703,0.000703,0.000703
5,453.899,0.89826,0.99243,1.26269,0.86871,0.81704,0.87181,0.6427,0.88739,0.72359,1.16705,0.000604,0.000604,0.000604
6,542.738,0.85054,0.90509,1.22842,0.87367,0.83174,0.86657,0.6349,0.84591,0.68642,1.14584,0.000505,0.000505,0.000505
7,631.496,0.80874,0.8369,1.1905,0.86245,0.82081,0.86469,0.64478,0.83686,0.65606,1.11912,0.000406,0.000406,0.000406
8,720.389,0.77224,0.76413,1.1606,0.8659,0.86296,0.88174,0.67676,0.79265,0.61444,1.09417,0.000307,0.000307,0.000307
9,809.051,0.73904,0.70816,1.1364,0.88497,0.86299,0.88455,0.68509,0.78789,0.60586,1.09911,0.000208,0.000208,0.000208
10,898.067,0.70639,0.66798,1.11215,0.89734,0.85209,0.89307,0.71149,0.75753,0.55941,1.05972,0.000109,0.000109,0.000109
