epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8862,0.97694,2.05748,1.30487,0.61643,0.56778,0.59394,0.37545,1.29168,1.54236,1.72731,0.000331897,0.000331897,0.000331897
2,163.807,1.00015,1.35876,1.29254,0.66929,0.68612,0.76113,0.48678,1.03504,1.51052,1.35515,0.000643277,0.000643277,0.000643277
3,242.578,0.99679,1.19524,1.28528,0.71543,0.67502,0.69901,0.45209,1.07947,1.06993,1.35951,0.000932658,0.000932658,0.000932658
4,321.597,1.00638,1.14787,1.29367,0.58974,0.65149,0.62533,0.39876,1.09394,1.20166,1.36621,0.000901,0.000901,0.000901
5,400.205,0.97333,1.05577,1.2686,0.77368,0.74059,0.76363,0.53793,0.97924,0.8976,1.25194,0.000868,0.000868,0.000868
6,478.943,0.93744,1.01024,1.24088,0.80329,0.76439,0.80083,0.55971,0.92963,0.79545,1.2108,0.000835,0.000835,0.000835
7,557.668,0.92158,0.94751,1.23142,0.83673,0.61533,0.71385,0.50216,0.94997,0.90195,1.24026,0.000802,0.000802,0.000802
8,636.186,0.90943,0.91483,1.22214,0.81359,0.80034,0.84364,0.56205,0.89557,0.72775,1.18887,0.000769,0.000769,0.000769
9,714.627,0.88569,0.88608,1.20968,0.81662,0.78932,0.82602,0.62824,0.87655,0.72279,1.16084,0.000736,0.000736,0.000736
10,793.024,0.87255,0.86428,1.20326,0.80924,0.81843,0.84419,0.62829,0.8597,0.67513,1.15591,0.000703,0.000703,0.000703
11,871.563,0.85942,0.82909,1.19323,0.78967,0.74304,0.81007,0.57954,0.89353,0.77705,1.17074,0.00067,0.00067,0.00067
12,950.076,0.85326,0.82217,1.18621,0.8803,0.83507,0.87082,0.65458,0.81918,0.61506,1.11785,0.000637,0.000637,0.000637
13,1028.56,0.8388,0.80088,1.17518,0.86237,0.81735,0.86464,0.69014,0.82907,0.62572,1.1217,0.000604,0.000604,0.000604
14,1106.85,0.82706,0.78709,1.16945,0.86711,0.83538,0.88718,0.65609,0.82121,0.62304,1.12339,0.000571,0.000571,0.000571
15,1185.51,0.81398,0.76481,1.16106,0.87434,0.82456,0.86725,0.68129,0.81469,0.62623,1.11487,0.000538,0.000538,0.000538
16,1264.22,0.81194,0.76894,1.15952,0.88834,0.81589,0.87805,0.68301,0.812,0.61691,1.11186,0.000505,0.000505,0.000505
17,1342.71,0.80755,0.7393,1.1606,0.89278,0.82932,0.87927,0.68401,0.80532,0.59196,1.09235,0.000472,0.000472,0.000472
18,1421.29,0.79181,0.72864,1.15041,0.89202,0.86533,0.89471,0.68442,0.79093,0.55813,1.08883,0.000439,0.000439,0.000439
19,1499.53,0.78183,0.71754,1.14129,0.8835,0.84953,0.88337,0.7069,0.77876,0.56824,1.08307,0.000406,0.000406,0.000406
20,1577.88,0.77449,0.69431,1.13769,0.88952,0.87161,0.89923,0.69797,0.77316,0.56869,1.07787,0.000373,0.000373,0.000373
21,1656.41,0.70688,0.63709,1.10854,0.89532,0.87589,0.90867,0.70306,0.76802,0.55272,1.07097,0.00034,0.00034,0.00034
22,1733.76,0.68541,0.58817,1.09388,0.89976,0.87408,0.90554,0.71243,0.76292,0.54252,1.06697,0.000307,0.000307,0.000307
23,1811.47,0.67126,0.57442,1.08142,0.8852,0.8976,0.90907,0.73856,0.75622,0.5212,1.06282,0.000274,0.000274,0.000274
24,1890.48,0.66273,0.56488,1.07525,0.89648,0.88692,0.90796,0.73571,0.74314,0.53145,1.04815,0.000241,0.000241,0.000241
25,1968.64,0.65306,0.54036,1.06661,0.89058,0.89019,0.90984,0.74495,0.72268,0.51091,1.03202,0.000208,0.000208,0.000208
26,2046.34,0.63712,0.53573,1.06032,0.88596,0.91626,0.91611,0.74915,0.72076,0.50347,1.03549,0.000175,0.000175,0.000175
27,2124.16,0.62906,0.53502,1.05315,0.90401,0.88079,0.91042,0.76137,0.72069,0.51106,1.03191,0.000142,0.000142,0.000142
28,2202.07,0.61458,0.49361,1.03815,0.90652,0.88598,0.91019,0.76452,0.71116,0.49479,1.02368,0.000109,0.000109,0.000109
29,2279.96,0.6057,0.49183,1.0324,0.90608,0.88202,0.91366,0.7697,0.70696,0.49306,1.02444,7.6e-05,7.6e-05,7.6e-05
30,2357.7,0.60041,0.47041,1.02665,0.90079,0.89423,0.91213,0.77019,0.7071,0.49475,1.02273,4.3e-05,4.3e-05,4.3e-05
