epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1198,0.96526,2.12796,1.2999,0.65534,0.62107,0.62932,0.44834,0.9966,1.92207,1.32036,0.000331183,0.000331183,0.000331183
2,167.472,0.992,1.38118,1.28087,0.61903,0.6611,0.65939,0.39443,1.15591,1.87523,1.71596,0.000651359,0.000651359,0.000651359
3,247.475,1.03198,1.25702,1.31171,0.56626,0.63851,0.57424,0.34513,1.14787,1.62717,1.51724,0.000958335,0.000958335,0.000958335
4,327.527,1.02464,1.16214,1.30285,0.71736,0.52888,0.60179,0.36087,1.13545,1.2447,1.49794,0.0009406,0.0009406,0.0009406
5,407.44,0.98667,1.06801,1.2742,0.63288,0.59068,0.64592,0.3964,1.35216,1.61154,1.68046,0.0009208,0.0009208,0.0009208
6,487.562,0.94917,1.00391,1.2516,0.78671,0.72998,0.79009,0.53749,0.96413,0.89544,1.29651,0.000901,0.000901,0.000901
7,567.84,0.93555,0.95191,1.24091,0.65134,0.71663,0.70239,0.45909,1.00596,1.08756,1.32213,0.0008812,0.0008812,0.0008812
8,647.861,0.93366,0.95385,1.25318,0.51339,0.56497,0.58504,0.41505,0.95345,1.12435,1.26347,0.0008614,0.0008614,0.0008614
9,727.999,0.91227,0.90375,1.2272,0.77769,0.80705,0.81037,0.58169,0.92559,0.75998,1.2297,0.0008416,0.0008416,0.0008416
10,808.034,0.90445,0.8919,1.2289,0.81595,0.76074,0.80473,0.61497,0.86868,0.72919,1.19754,0.0008218,0.0008218,0.0008218
11,887.666,0.8777,0.85398,1.20034,0.77422,0.71295,0.73603,0.5171,0.89967,0.81371,1.23913,0.000802,0.000802,0.000802
12,967.539,0.86467,0.85287,1.19634,0.88896,0.81241,0.86768,0.63229,0.86154,0.66381,1.17872,0.0007822,0.0007822,0.0007822
13,1047.49,0.86386,0.82346,1.19359,0.863,0.75002,0.83779,0.60045,0.86676,0.68215,1.20218,0.0007624,0.0007624,0.0007624
14,1127.43,0.85386,0.81112,1.18608,0.89071,0.80807,0.86125,0.61689,0.84236,0.68016,1.19762,0.0007426,0.0007426,0.0007426
15,1207.13,0.83468,0.78071,1.17313,0.87144,0.81998,0.85992,0.6573,0.83134,0.65316,1.14896,0.0007228,0.0007228,0.0007228
